KONPLAN SAMMENLIG;Finanskonto;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;Navn;Søgenavn;Kontotype;Global dimension 1-kode;Global dimension 2-kode;Kontokategori;Resultatopgørelse/balance;Debet/kredit;Nr. 2;Spærret;Direkte bogføring;Afstembar;Sideskift;Antal tomme linjer;Indrykning;Valutakode;Bogføring af kildevaluta;Værdiregulering af kildevaluta;Urealiseret værdiregulering;Dato/klokkeslæt for seneste ændring;Rettet den;Sammentælling;Konsol. oversættelsesmetode;Kons.debetkonto;Kons.kreditkonto;Bogføringstype;Virksomhedsbogføringsgruppe;Produktbogføringsgruppe;Billede;Automatisk udv. tekster;Skatteområdekode;Skattepligtig;Skattegruppekode;Momsvirksomhedsbogf.gruppe;Momsproduktbogf.gruppe;Valutakursregulering;IC-stand.partners finanskt.nr.;Udelad standardbeskrivelse i kladde;Løbenr. for kontounderkategori;Udeluk fra konsolidering;Omkostningstypenr.;Standardskabelonkode for periodisering;Automatisk redovisningsmall;Standardbæredygtighedskonti;API-kontotype;Gennemse politik
1310;Aktier och andelar koncernftg;AKTIER OCH ANDELAR KONCERNFTG;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.72Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;1;false;;;;;Bogføring;Ingen
1397;Finansiella anlägg.tillg. tot.;FINANSIELLA ANLÄGG.TILLG. TOT.;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:44.73Z;2026-01-19;1300..1397;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;1;false;;;;;Sluttotal;Ingen
1398;Anläggningstillgångar totalt;ANLÄGGNINGSTILLGÅNGAR TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;1;;;false;false;2026-01-19T15:19:44.737Z;2026-01-19;1003..1398;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;7;false;;;;;Sluttotal;Ingen
1400;Omsättningstillgångar;OMSÄTTNINGSTILLGÅNGAR;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;1;1;;;false;false;2026-01-19T15:19:44.747Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;2;false;;;;;Starttotal;Ingen
1401;Lager;LAGER;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:44.763Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Starttotal;Ingen
1410;Råmaterial;RÅMATERIAL;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.773Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1411;Råmaterial (interim);RÅMATERIAL (INTERIM);Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.787Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1430;PIA för projekt;PIA FÖR PROJEKT;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.797Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Starttotal;Ingen
1431;Produkter i arbete intäkter;PRODUKTER I ARBETE INTÄKTER;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;4;;;false;false;2026-01-19T15:19:44.807Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Starttotal;Ingen
1432;PIA-projektförsäljning;PIA-PROJEKTFÖRSÄLJNING;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;5;;;false;false;2026-01-19T15:19:44.82Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
